Source,Type,Target,Weight
Aaron Haddam,Undirected,Arthur Bentleigh,1
Aaron Haddam,Undirected,Asa Vintner Litton,2
Aaron Haddam,Undirected,Augustus Benjamin,1
Aaron Haddam,Undirected,Blairs,1
Aaron Haddam,Undirected,Democratic Senator,1
Aaron Haddam,Undirected,Elizabeth Keckley,2
Aaron Haddam,Undirected,Fernando Wood,1
Aaron Haddam,Undirected,George Pendleton,2
Aaron Haddam,Undirected,Harold Hollister,1
Aaron Haddam,Undirected,Hay,1
Aaron Haddam,Undirected,James Ashley,2
Aaron Haddam,Undirected,John Ellis,1
Aaron Haddam,Undirected,John Nicolay,1
Aaron Haddam,Undirected,Josiah Burton,1
Aaron Haddam,Undirected,Mary,2
Aaron Haddam,Undirected,Nehemiah Cleary,1
Aaron Haddam,Undirected,Robert Latham,1
Aaron Haddam,Undirected,Schuyler Colfax,1
Aaron Haddam,Undirected,Schüler Colfax,1
Aaron Haddam,Undirected,Stephens,1
Aaron Haddam,Undirected,Thaddeus Stevens,2
Aaron Haddam,Undirected,The Clerk of the House,1
Aaron Haddam,Undirected,W.N. Bilbo,1
Aaron Haddam,Undirected,Walter Appleton,1
Aaron Haddam,Undirected,William Hutton,1
Alexander Coffroth,Undirected,Andrew E. Fink,1
Alexander Coffroth,Undirected,Avon Hanready,1
Alexander Coffroth,Undirected,Chilton A. Elliot,1
Alexander Coffroth,Undirected,Daniel G. Stuart,1
Alexander Coffroth,Undirected,Edwin Leclerk,1
Alexander Coffroth,Undirected,Fernando Wood,1
Alexander Coffroth,Undirected,George Yeaman,1
Alexander Coffroth,Undirected,Howard Guilefoyle,1
Alexander Coffroth,Undirected,John A. Kassim,1
Alexander Coffroth,Undirected,John F. Mckenzie,1
Alexander Coffroth,Undirected,Joseph Marstern,1
Alexander Coffroth,Undirected,Lincoln,1
Alexander Coffroth,Undirected,Mary,1
Alexander Coffroth,Undirected,Meyer Straus,1
Alexander Coffroth,Undirected,Robert,1
Alexander Coffroth,Undirected,Rufus Warren,1
Alexander Coffroth,Undirected,Schuyler Colfax,1
Alexander Coffroth,Undirected,Sergeant,1
Alexander Coffroth,Undirected,Soldier,1
Alexander Coffroth,Undirected,Stephens,1
Alexander Coffroth,Undirected,Thaddeus Stevens,2
Alexander Coffroth,Undirected,The Clerk of the House,1
Alexander Coffroth,Undirected,W.N. Bilbo,1
Alexander Coffroth,Undirected,Walter H. Washburn,1
Alexander Stephens,Undirected,Grant,1
Alexander Stephens,Undirected,Hunter,1
Alexander Stephens,Undirected,John A. Campbell,1
Alexander Stephens,Undirected,John. A. Champbell,1
Alexander Stephens,Undirected,Lincoln,1
Alexander Stephens,Undirected,R.M.T. Hunter,2
Alexander Stephens,Undirected,Seward,1
Alexander Stephens,Undirected,Stephens,2
Andrew E. Fink,Undirected,Avon Hanready,1
Andrew E. Fink,Undirected,Chilton A. Elliot,1
Andrew E. Fink,Undirected,Daniel G. Stuart,1
Andrew E. Fink,Undirected,Edwin Leclerk,1
Andrew E. Fink,Undirected,Fernando Wood,1
Andrew E. Fink,Undirected,George Yeaman,1
Andrew E. Fink,Undirected,Howard Guilefoyle,1
Andrew E. Fink,Undirected,John A. Kassim,1
Andrew E. Fink,Undirected,John F. Mckenzie,1
Andrew E. Fink,Undirected,Joseph Marstern,1
Andrew E. Fink,Undirected,Lincoln,1
Andrew E. Fink,Undirected,Mary,1
Andrew E. Fink,Undirected,Meyer Straus,1
Andrew E. Fink,Undirected,Robert,1
Andrew E. Fink,Undirected,Rufus Warren,1
Andrew E. Fink,Undirected,Schuyler Colfax,1
Andrew E. Fink,Undirected,Sergeant,1
Andrew E. Fink,Undirected,Soldier,1
Andrew E. Fink,Undirected,Stephens,1
Andrew E. Fink,Undirected,Thaddeus Stevens,1
Andrew E. Fink,Undirected,The Clerk of the House,1
Andrew E. Fink,Undirected,W.N. Bilbo,1
Andrew E. Fink,Undirected,Walter H. Washburn,1
Army Surgeon,Undirected,First Patient,1
Army Surgeon,Undirected,Fourth Patient,1
Army Surgeon,Undirected,Lincoln,1
Army Surgeon,Undirected,Second Patient,1
Army Surgeon,Undirected,Third Patient,1
Arthur Bentleigh,Undirected,Asa Vintner Litton,1
Arthur Bentleigh,Undirected,Augustus Benjamin,1
Arthur Bentleigh,Undirected,Democratic Senator,1
Arthur Bentleigh,Undirected,Elizabeth Keckley,1
Arthur Bentleigh,Undirected,George Pendleton,1
Arthur Bentleigh,Undirected,Harold Hollister,1
Arthur Bentleigh,Undirected,James Ashley,1
Arthur Bentleigh,Undirected,John Ellis,1
Arthur Bentleigh,Undirected,Josiah Burton,1
Arthur Bentleigh,Undirected,Mary,1
Arthur Bentleigh,Undirected,Nehemiah Cleary,1
Arthur Bentleigh,Undirected,Schuyler Colfax,1
Arthur Bentleigh,Undirected,Stephens,1
Arthur Bentleigh,Undirected,Thaddeus Stevens,1
Arthur Bentleigh,Undirected,The Clerk of the House,1
Arthur Bentleigh,Undirected,Walter Appleton,1
Arthur Bentleigh,Undirected,William Hutton,1
Asa Vintner Litton,Undirected,Augustus Benjamin,1
Asa Vintner Litton,Undirected,Blairs,1
Asa Vintner Litton,Undirected,Bluff Wade,1
Asa Vintner Litton,Undirected,Democratic Senator,1
Asa Vintner Litton,Undirected,Elizabeth Keckley,2
Asa Vintner Litton,Undirected,Fernando Wood,2
Asa Vintner Litton,Undirected,George Pendleton,3
Asa Vintner Litton,Undirected,George Yeaman,1
Asa Vintner Litton,Undirected,Harold Hollister,1
Asa Vintner Litton,Undirected,Hay,1
Asa Vintner Litton,Undirected,James Ashley,3
Asa Vintner Litton,Undirected,John Ellis,1
Asa Vintner Litton,Undirected,John Nicolay,1
Asa Vintner Litton,Undirected,Josiah Burton,1
Asa Vintner Litton,Undirected,Mary,2
Asa Vintner Litton,Undirected,Nehemiah Cleary,1
Asa Vintner Litton,Undirected,Richard Schell,1
Asa Vintner Litton,Undirected,Robert Latham,2
Asa Vintner Litton,Undirected,Schuyler Colfax,3
Asa Vintner Litton,Undirected,Schüler Colfax,1
Asa Vintner Litton,Undirected,Stephens,1
Asa Vintner Litton,Undirected,Thaddeus Stevens,4
Asa Vintner Litton,Undirected,The Clerk of the House,1
Asa Vintner Litton,Undirected,W.N. Bilbo,2
Asa Vintner Litton,Undirected,Walter Appleton,1
Asa Vintner Litton,Undirected,William Hutton,1
Ashley,Undirected,Bluff Wade,1
Ashley,Undirected,Charles Sumner,1
Ashley,Undirected,James Ashley,1
Ashley,Undirected,Lincoln,1
Ashley,Undirected,Mary,1
Ashley,Undirected,Robert,1
Ashley,Undirected,Stevens,1
Ashley,Undirected,Thaddeus Stevens,1
Ashley,Undirected,William Slade,1
Audience,Undirected,Lincoln,1
Augustus Benjamin,Undirected,Democratic Senator,1
Augustus Benjamin,Undirected,Elizabeth Keckley,1
Augustus Benjamin,Undirected,George Pendleton,1
Augustus Benjamin,Undirected,Harold Hollister,1
Augustus Benjamin,Undirected,James Ashley,1
Augustus Benjamin,Undirected,John Ellis,1
Augustus Benjamin,Undirected,Josiah Burton,1
Augustus Benjamin,Undirected,Mary,1
Augustus Benjamin,Undirected,Nehemiah Cleary,1
Augustus Benjamin,Undirected,Schuyler Colfax,1
Augustus Benjamin,Undirected,Stephens,1
Augustus Benjamin,Undirected,Thaddeus Stevens,1
Augustus Benjamin,Undirected,The Clerk of the House,1
Augustus Benjamin,Undirected,Walter Appleton,1
Augustus Benjamin,Undirected,William Hutton,1
